"('mid',)","('pid',)","('name',)"
tt0002130,nm0660139,Dante Alighieri
tt0002130,nm0685283,Virgilio
tt0002130,nm0209738,Farinata degli Uberti
tt0002130,nm0209738,Pier delle Vigne
tt0002130,nm0209738,Il conte Ugolino
tt0002130,nm3942815,Il conte Ugolino
tt0002844,nm0622772,Fantômas
tt0002844,nm0622772,Gurn
tt0002844,nm0107631,Inspector Juve
tt0002844,nm0577476,"Jérôme Fandor, journaliste à 'La Capitale'"
tt0002844,nm0137288,"Lady Beltham, maîtresse de Fantômas"
tt0003014,nm0526234,Doctor
tt0003014,nm0096737,Ingeborg Holm
tt0003014,nm0511806,Sven Holm - Older Eric Holm
tt0003014,nm0511903,Employee in Shop
tt0003014,nm0344981,Poorhouse Superintendant
tt0003014,nm0489296,Police Officer
tt0003037,nm0622772,Fantômas
tt0003037,nm0622772,Dr Chaleck
tt0003037,nm0622772,Le Loupart
tt0003037,nm0107631,Inspector Juve
tt0003037,nm0577476,"Jérôme Fandor, journaliste"
tt0003037,nm0137288,Lady Beltham
tt0003165,nm0622772,Fantômas
tt0003165,nm0622772,le banquier Nanteuil
tt0003165,nm0107631,Inspector Juve
tt0003165,nm0577476,Jérôme Fandor
tt0003165,nm0525283,Jacques Dollon
tt0003419,nm0917467,"Balduin, a Student"
tt0003419,nm0074186,Countess Margit von Schwarzenberg
tt0003419,nm0758802,"Lyduschka, a Gypsy Girl"
tt0003419,nm0332024,"Scapinelli, an Old Sorcerer"
tt0003643,nm0910400,The Nephew
tt0003643,nm0014894,The Uncle
tt0003643,nm0842239,Anabel - The Nephew's Sweetheart
tt0003643,nm0797094,The Italian
tt0003643,nm0507635,The Detective
tt0003643,nm0550615,The Maid
tt0003643,nm0366008,The Grocery Boy
tt0003740,nm0021935,Sophonisba - Hasdrubal's Daughter
tt0003740,nm0702894,Cabiria - also called Elissa
tt0003740,nm0656034,Maciste - Axilla's Slave
tt0003740,nm0146028,Cabiria da piccola
tt0003740,nm0146028,as a Child
tt0003772,nm0532996,Undetermined Role
tt0003772,nm0681933,Cinderella
tt0003772,nm0601698,Prince Charming
tt0003772,nm0894679,Stepmother
tt0003772,nm0933448,Stepsister
tt0003772,nm0138822,Stepsister
tt0003772,nm0174485,The King
tt0003772,nm0545147,Fairy Godmother
tt0003930,nm0622772,Fantômas
tt0003930,nm0622772,Le père Moche
tt0003930,nm0622772,Le détective Tom Bob
tt0003930,nm0577476,"Jérôme Fandor, journaliste"
tt0003930,nm0605849,L'apache Paulet
tt0003930,nm0137288,Lady Beltham
tt0003952,nm0551792,Ribonard
tt0003952,nm0622772,Fantômas
tt0003952,nm0622772,Le juge d'instruction Pradier
tt0003952,nm0107631,Inspector Juve
tt0003952,nm0577476,"Jérôme Fandor, journaliste"
tt0003952,nm1266519,Le marquis de Tergall
tt0003952,nm0605849,L'apache Paulet
tt0004026,nm0917467,Golem
tt0004026,nm0301961,Troedler
tt0004026,nm0758802,Jessica
tt0004026,nm0090104,Gelehrter
tt0004181,nm0842239,Judith
tt0004181,nm0910400,Holofernes
tt0004181,nm0550615,Naomi
tt0004181,nm0366008,Nathan - Son of Eliah
tt0004465,nm0925310,Pauline Marvin
tt0004465,nm0928108,Harry Marvin
tt0004465,nm0659947,Raymond Owen - aka Koerner (re-release)
tt0004465,nm0430968,Sanford Marvin - Pauline's Father
tt0004707,nm0000122,The City Slicker
tt0004707,nm0237597,Tillie
tt0004707,nm0635667,Mabel
tt0004707,nm0841501,Tillie's Father
tt0004972,nm0001273,Elsie - Stoneman's Daughter
tt0004972,nm0550615,Flora Cameron - the Pet Sister
tt0004972,nm0910400,Col. Ben Cameron aka The Little Colonel
tt0004972,nm0178270,Margaret Cameron - the Elder Sister
tt0005078,nm0911531,Edith Hardy
tt0005078,nm0370564,Hishuru Tori (original release)
tt0005078,nm0370564,Haka Arakau (in 1918 re-release)
tt0005078,nm0212797,Richard Hardy
tt0005078,nm0624735,Jones
tt0005960,nm0271503,Owen - Age Twenty-Five
tt0005960,nm0632160,Marie Deering
tt0005960,nm0790704,Skinny - One of the Gang
tt0005960,nm0361882,District Attorney Ames
tt0006206,nm0621051,Marfa Koutiloff (episode II)
tt0006206,nm0615736,Irma Vep
tt0006206,nm0559013,Philippe Guérande
tt0006206,nm0529695,Oscar Mazamette
tt0006206,nm0043923,Le Grand Vampire
tt0006206,nm0380742,Juan-José Moréno
tt0006206,nm0380742,Brichonnet
tt0006333,nm0392709,Capt. Nemo
tt0006333,nm0360132,Prof. Aronnax
tt0006333,nm0671728,Aronnax's Daughter
tt0006333,nm0072911,Ned Land
tt0006864,nm0001273,The Woman Who Rocks the Cradle
tt0006864,nm0001273,Eternal Mother
tt0006864,nm0366008,The Boy
tt0006864,nm0550615,The Dear One
tt0006864,nm0877548,The Dear One's Father
tt0008443,nm0681933,Gwendolyn 'Gwen'
tt0008443,nm0871337,Gwendolyn's Mother
tt0008443,nm0919966,Gwendolyn's Father
tt0008443,nm0265469,Jane
tt0008663,nm0803705,Terje Vigen
tt0008663,nm0265890,The Lord
tt0008663,nm0258611,The Lady
tt0008663,nm0403851,Mrs. Vigen
