"('mid',)","('ordering',)","('pid',)","('category',)","('job',)"
tt0002130,10,nm1376180,production_designer,
tt0002130,1,nm0660139,actor,
tt0002130,2,nm0685283,actor,
tt0002130,3,nm0209738,actor,
tt0002130,4,nm3942815,actor,
tt0002130,5,nm0078205,director,
tt0002130,6,nm0655824,director,
tt0002130,7,nm0019604,writer,"poem ""La Divina Commedia"""
tt0002130,8,nm1374692,composer,
tt0002130,9,nm1376296,cinematographer,
tt0002844,10,nm1666136,cinematographer,
tt0002844,1,nm0622772,actor,
tt0002844,2,nm0107631,actor,
tt0002844,3,nm0577476,actor,
tt0002844,4,nm0137288,actress,
tt0002844,5,nm0275421,director,
tt0002844,6,nm0019855,writer,novel
tt0002844,7,nm0816232,writer,novel
tt0002844,8,nm0097918,producer,producer
tt0002844,9,nm0287628,composer,
tt0003014,10,nm0526234,actor,
tt0003014,1,nm0096737,actress,
tt0003014,2,nm0511806,actor,
tt0003014,3,nm0511903,actor,
tt0003014,4,nm0344981,actor,
tt0003014,5,nm0803705,director,
tt0003014,6,nm0472236,writer,play
tt0003014,7,nm1972946,composer,
tt0003014,8,nm0415403,cinematographer,
tt0003014,9,nm0489296,actor,
tt0003037,10,nm0307872,production_designer,
tt0003037,1,nm0622772,actor,
tt0003037,2,nm0107631,actor,
tt0003037,3,nm0577476,actor,
tt0003037,4,nm0137288,actress,
tt0003037,5,nm0275421,director,
tt0003037,6,nm0019855,writer,novel
tt0003037,7,nm0816232,writer,novel
tt0003037,8,nm0097918,producer,producer
tt0003037,9,nm1666136,cinematographer,
tt0003165,1,nm0622772,actor,
tt0003165,2,nm0107631,actor,
tt0003165,3,nm0577476,actor,
tt0003165,4,nm0525283,actor,
tt0003165,5,nm0275421,director,
tt0003165,6,nm0019855,writer,novel
tt0003165,7,nm0816232,writer,novel
tt0003165,8,nm1666136,cinematographer,
tt0003165,9,nm1718198,cinematographer,
tt0003419,10,nm0226278,production_designer,
tt0003419,1,nm0917467,actor,
tt0003419,2,nm0074186,actress,
tt0003419,3,nm0758802,actress,
tt0003419,4,nm0332024,actor,
tt0003419,5,nm0753233,director,
tt0003419,6,nm0263912,writer,story
tt0003419,7,nm0210503,writer,quotation
tt0003419,8,nm0919054,composer,
tt0003419,9,nm0005869,cinematographer,
tt0003643,10,nm0073239,actor,
tt0003643,1,nm0910400,actor,
tt0003643,2,nm0014894,actor,
tt0003643,3,nm0842239,actress,
tt0003643,4,nm0797094,actor,
tt0003643,5,nm0000428,director,
tt0003643,6,nm0000590,writer,"stories The Pit and the Pendulum, The Tell-Tale Heart"
tt0003643,7,nm0507635,actor,
tt0003643,8,nm0550615,actress,
tt0003643,9,nm0366008,actor,
tt0003740,10,nm0686205,composer,
tt0003740,1,nm0021935,actress,
tt0003740,2,nm0702894,actress,
tt0003740,3,nm0656034,actor,
tt0003740,4,nm0146028,actress,
tt0003740,5,nm0665163,director,
tt0003740,6,nm0195339,writer,titles
tt0003740,7,nm0515385,writer,book
tt0003740,8,nm0758215,writer,novel
tt0003740,9,nm0563460,composer,
tt0003772,10,nm0532996,actor,
tt0003772,1,nm0681933,actress,
tt0003772,2,nm0601698,actor,
tt0003772,3,nm0894679,actress,
tt0003772,4,nm0933448,actress,
tt0003772,5,nm0456804,director,
tt0003772,6,nm0674518,writer,"story ""Cendrillon"""
tt0003772,7,nm0138822,actress,
tt0003772,8,nm0174485,actor,
tt0003772,9,nm0545147,actress,
tt0003930,1,nm0622772,actor,
tt0003930,2,nm0577476,actor,
tt0003930,3,nm0605849,actor,
tt0003930,4,nm0137288,actress,
tt0003930,5,nm0275421,director,
tt0003930,6,nm0019855,writer,"novel ""Le Policier Apache"""
tt0003930,7,nm0816232,writer,"novel ""Le Policier Apache"""
tt0003930,8,nm0097918,producer,producer
tt0003930,9,nm1666136,cinematographer,
tt0003952,10,nm0551792,actor,
tt0003952,1,nm0622772,actor,
tt0003952,2,nm0107631,actor,
tt0003952,3,nm0577476,actor,
tt0003952,4,nm1266519,actor,
tt0003952,5,nm0275421,director,
tt0003952,6,nm0019855,writer,"novel ""Le Magistrat Cambrioleur"""
tt0003952,7,nm0816232,writer,"novel ""Le Magistrat Cambrioleur"""
tt0003952,8,nm1666136,cinematographer,
tt0003952,9,nm0605849,actor,
tt0004026,1,nm0917467,actor,
tt0004026,2,nm0301961,actor,
tt0004026,3,nm0758802,actress,
tt0004026,4,nm0090104,actor,
tt0004026,5,nm5215306,composer,
tt0004026,6,nm0005869,cinematographer,
tt0004026,7,nm0322843,production_designer,
tt0004181,10,nm0808571,editor,
tt0004181,1,nm0842239,actress,
tt0004181,2,nm0910400,actor,
tt0004181,3,nm0550615,actress,
tt0004181,4,nm0366008,actor,
tt0004181,5,nm0000428,director,
tt0004181,6,nm0017701,writer,poem
tt0004181,7,nm1106102,writer,
tt0004181,8,nm0940488,writer,
tt0004181,9,nm0005658,cinematographer,
tt0004465,10,nm0589616,writer,
tt0004465,1,nm0925310,actress,
